Average Latency : 187.65  Packet Loss 0.05000000000000001
Average Latency : 2.93  Packet Loss 0.0
Average Latency : 2.64  Packet Loss 0.0
Average Latency : 2.68  Packet Loss 0.0
Average Latency : 3.45  Packet Loss 0.0
Average Latency : 2.58  Packet Loss 0.0
Average Latency : 2.68  Packet Loss 0.0
Average Latency : 3.7  Packet Loss 0.0
Average Latency : 2.85  Packet Loss 0.0
Average Latency : 2.26  Packet Loss 0.0
Average Latency : 2.53  Packet Loss 0.0
Average Latency : 2.66  Packet Loss 0.0
Average Latency : 2.15  Packet Loss 0.0
Average Latency : 3.0  Packet Loss 0.0
Average Latency : 3.33  Packet Loss 0.0
Average Latency : 2.65  Packet Loss 0.0
Average Latency : 2.66  Packet Loss 0.0
Average Latency : 2.92  Packet Loss 0.0
Average Latency : 3.17  Packet Loss 0.0
Average Latency : 3.0  Packet Loss 0.0
Average Latency : 3.66  Packet Loss 0.0
Average Latency : 2.26  Packet Loss 0.0
Average Latency : 2.72  Packet Loss 0.0
Average Latency : 1.99  Packet Loss 0.0
Average Latency : 3.73  Packet Loss 0.0
Average Latency : 3.09  Packet Loss 0.0
Average Latency : 2.78  Packet Loss 0.0
Average Latency : 4.18  Packet Loss 0.0
Average Latency : 3.7  Packet Loss 0.0
Average Latency : 4.07  Packet Loss 0.0
Average Latency : 2.98  Packet Loss 0.0
Average Latency : 2.97  Packet Loss 0.0
Average Latency : 2.95  Packet Loss 0.0
Average Latency : 3.8  Packet Loss 0.0
Average Latency : 3.05  Packet Loss 0.0
Average Latency : 4.49  Packet Loss 0.0
Average Latency : 2.88  Packet Loss 0.0
Average Latency : 3.84  Packet Loss 0.0
Average Latency : 2.42  Packet Loss 0.0
Average Latency : 2.39  Packet Loss 0.0
