Average Latency : 1952.32  Packet Loss 0.65
Average Latency : 3.55  Packet Loss 0.0
Average Latency : 301.71  Packet Loss 0.10000000000000002
Average Latency : 1.55  Packet Loss 0.0
Average Latency : 1.54  Packet Loss 0.0
Average Latency : 1.72  Packet Loss 0.0
Average Latency : 453.33  Packet Loss 0.15000000000000002
Average Latency : 1802.66  Packet Loss 0.6000000000000001
Average Latency : 1.96  Packet Loss 0.0
Average Latency : 1.75  Packet Loss 0.0
Average Latency : 1.81  Packet Loss 0.0
Average Latency : 3.61  Packet Loss 0.0
Average Latency : 1802.39  Packet Loss 0.5999999999999999
Average Latency : 1650.86  Packet Loss 0.55
Average Latency : 3.93  Packet Loss 0.0
Average Latency : 2.46  Packet Loss 0.0
Average Latency : 2.07  Packet Loss 0.0
Average Latency : 154.34  Packet Loss 0.05
Average Latency : 314.11  Packet Loss 0.1
